titre,text,date,link,img
"Industries manufacturières : Baisse de 2,3% de l'indice de la production au T1-2022","L'indice de la production des industries manufacturières hors raffinage de pétrole a enregistré une baisse de 2,3% au cours du premier trimestre 2022 (T1-2022) par rapport à la même période de l'année précédente, selon le Haut Commissariat au Plan (HCP). Cette évolution résulte notamment de la baisse de l’indice de la production de l’""industrie chimique"" de 8,6%, de celui des ""industries alimentaires"" de 1,3%, de celui de la ""fabrication d’équipements électriques"" de 3,4%, de celui de la ""fabrication des produits en caoutchouc et en plastique"" de 3,2%, de celui de l’""industrie automobile"" de 2,6%, de celui de l’""industrie de l’habillement"" de 1,6% et de celui de l’""industrie de textiles"" de 2,3%, explique le HCP dans sa récente note relative à l'indice de la production industrielle, énergétique et minière (IPIEM). En revanche, l’indice de l’""industrie pharmaceutique"" a enregistré une hausse de 9,9%, celui de la ""métallurgie"" de 1,5%, celui de la ""fabrication de meubles"" de 5,0% et celui de la ""fabrication des boissons"" de 0,9%, ajoute la même source. Par ailleurs, l’indice de la production des industries extractives a enregistré une baisse de 10,1%, résultant de la baisse de l’indice de la production des ""produits divers des industries extractives"" de 10,6% et de la hausse de celui des ""minerais métalliques"" de 1,2%. L’indice de la production de l’énergie électrique a enregistré, de son côté, une hausse de 4,2% au T1-2022.",2022-06-15,https://lematin.ma/express/2022/industries-manufacturieres-baisse-23-lindice-production-t1-2022/377101.html,https://static.lematin.ma/files/lematin/images/articles/2022/06/4e3a9eba3b033def703e1acd0d29374c.jpg
"SOREC lance le programme ""ALF MORAKAB"" pour les éleveurs des chevaux","Pour faciliter la gestion du processus d’achat à travers le nouveau programme, la SOREC a mis en place la plateforme alf-morakab.sorec.ma dédiée à l’ensemble des intervenants. La société Royale d’Encouragement du Cheval (SOREC) a lancé le programme « ALF MORAKAB » au profit des éleveurs et propriétaires des chevaux visant à promouvoir les aliments composés fabriqués au Maroc. Face à la sécheresse, cette nouvelle initiative vient soutenir les éleveurs inscrits à la SOREC et leur permettre de poursuivre leurs activités en sauvegardant le « cheptel équin de haute valeur génétique. » Pour faciliter la gestion du processus d’achat à travers le nouveau programme, la SOREC a mis en place la plateforme alf-morakab.sorec.ma dédiée à l’ensemble des intervenants. Cette plateforme offre, en effet, la possibilité aux bénéficiaires de déposer directement leurs demandes à l’application alf-morakab.sorec.ma, appeler le numéro 05 37 27 11 44 pour une assistance téléphonique ou se déplacer aux haras nationaux ou les hippodromes du Royaume. Par ailleurs, une aide forfaitaire de 1,5 DH TTC par kilogramme sera attribuée aux éleveurs et propriétaires, suite à un appel à manifestation d’intérêt qui a été lancé par la SOREC auprès des fabricants locaux permettant aux bénéficiaires de choisir le fournisseur et la gamme d’aliment à leur convenance. Il convient de rappeler que dans le cadre de la stratégie de développement de la filière équine marocaine, et sous tutelle du ministère de l’Agriculture, de la Pêche Maritime, du Développement Rural et des Eaux et Forêts, la SOREC travaille sur l’accompagnent des éleveurs à travers un dispositif complet de mesures : soutien financier, mise à disposition de semences, formation et conseil, afin que cette filière soit un puissant levier socio-économique notamment dans le milieu rural.",2022-06-15,https://lematin.ma/express/2022/sorec-lance-programme-alf-morakab-eleveurs-chevaux/377100.html,https://static.lematin.ma/files/lematin/images/articles/2022/06/cbee0e5ae52f288f56426f5b18169078.jpg
"Carburants : Le prix de l'essence proche des 18DH/L, le gasoil frôle les 16DH/L","Le prix du litre d’essence a augmenté, selon le distributeur, de 0,95 à 1,02 DH/L. Le prix du litre de diesel enregistre à son tour une hausse considérable. Ce mercredi 15 juin 2022, les prix des carburants ont enregistré une nouvelle hausse, autour de 1 dirham le litre. C'est donc la troisième hausse depuis le début du mois de juin suite à laquelle les prix atteindront un niveau inédit et redouté par les transporteurs. Dans le détail, le prix du litre d’essence a augmenté selon le distributeur, de 0,95 à 1,02 DH/L. Le prix du litre de diesel a enregistré à son tour une hausse considérable, soit +0.95 à +1,06 selon l’enseigne. Lire aussi : Une hausse autour de 1 DH/L des prix de l’essence et du gasoil attendue mercredi 15 juin",2022-06-15,https://lematin.ma/express/2022/carburants-prix-lessence-proche-18dhl-gasoil-fro-16dhl/377098.html,https://static.lematin.ma/files/lematin/images/articles/2022/06/0171f8526ae3291ad329f42980e83f41.png
Société Générale Maroc lance son plan stratégique baptisé Joussour25,"Donner aux clients le choix entre le modèle omnicanal, distanciel ou full-digital, transformer le groupe en acteur technologique agile et orienté client, agir pour la société et l’environnement et renforcer le positionnement du Maroc en tant que hub vers l’Afrique. Tels sont les 4 axes du nouveau plan stratégique de Société Générale Maroc « Joussour25 ». Le groupe annonce à l’occasion le développement d’agences relationnelles qui constitueront 75 % du réseau à horizon 2025 avec plusieurs typologies spécialisées par segments et les « Agences sans caisse », ainsi que le lancement de SoGé Ado, première offre destinée aux jeunes de 12 à 18 ans. Société Générale Maroc marque l’achèvement de la première étape de sa stratégie de transformation et annonce son nouveau plan stratégique baptisé jossour25. « Capitalisant sur les enseignements post-crise, Société Générale mène des inflexions majeures pour répondre aux nouveaux usages des clients et aux besoins d’une nouvelle génération qui souhaite avoir une proposition de valeur bancaire différente », indique le groupe. Joussour25 se traduit par de nouvelles ambitions autour de 4 axes majeurs : Donner aux clients le choix entre deux modèles relationnels : -Un modèle omnicanal autour de banquiers experts mis à disposition pour chaque segment de clientèle -Un model distant et full-digital sous la marque SoGé avec des expériences client simplifiées. Grâce à la mutualisation de sa plateforme, SoGé revendique le positionnement de la banque la moins chère sur le marché Transformer le groupe en acteur technologique agile et orienté client Agir pour la société et l’environnement à travers des investissements ciblés et des réalisations concrètes. Renforcer le positionnement du Maroc en tant que plateforme technologique du Groupe pour l’Afrique. Cette dynamique est notamment matérialisée par : L’industrialisation du nouveau Modèle Relationnel Retail grâce au développement d’Agences Relationnelles qui constitueront 75 % du réseau à horizon 2025 avec plusieurs typologies innovantes d’agences spécialisées par segments et les « Agences sans caisse ». Ce dispositif est accompagné par l’accélération de la mise en place des outils Self Care clients (ELS, Applications, Accès Transactionnel « open » dans l’ensemble des agences…) et par une intensification relationnelle grâce à l’expertise des Conseillers Spécialisés dont le nombre sera multiplié par 5 à horizon 2025. Lancement de SoGé Ado, première offre destinée aux jeunes de 12 à 18 ans. Sous la supervision des parents, la banque met ainsi à la disposition de ces jeunes une proposition de valeur complète de services bancaires et extra-bancaires fluides et simples, pour les assister au quotidien dans la gestion de leur budget et le développement de leur autonomie financière. La RSE, est également un axe stratégique transverse que le groupe construit autour de deux priorités pour répondre à l’urgence climatique : 1. Accompagner ses clients dans leur transition énergétique ; 2. Réduire progressivement ses activités liées aux énergies les plus carbonées. Société Générale Maroc compte ains accélérer ses engagements en faveur de la transition énergétique en consolidant son partenariat avec la BERD et le Fonds Vert pour le Climat (GCF) en lançant une nouvelle ligne de crédit de 25 millions d’euros, destinée au renforcement des investissements verts dans le Royaume. Pour accompagner sa vocation du « Servicing », Société Générale lance le projet de construction d’un deuxième siège, le « Campus Société Générale », en plein cœur de Casa Finance City. Ce complexe immobilier, pouvant accueillir 2 000 personnes, est ainsi destiné à regrouper les pôles technologiques du Groupe au Maroc, les filiales spécialisées et la banque d’investissement. « Modèle d’exemplarité en matière de construction éco-responsable, le nouveau Campus confirme l’ambition du Groupe Société Générale ainsi que son ancrage au Maroc et en Afrique », indique la banque. Lancé en 2018, le plan stratégique « Avenir 19-21 », qui a précédé joussour25, a marqué une première étape ambitieuse de la transformation de Société Générale Maroc, en réaffirmant son ancrage local, sa vocation de partenaire de confiance et sa volonté d’offrir à ses clients le savoir-faire d’une grande banque internationale. «Le groupe Société Générale Maroc a érigé durant cette phase les fondamentaux d’une transformation durable, en mettant en place une organisation matricielle qui permet de concilier expertise et proximité ainsi qu’une approche digitale innovante, socle d’une nouvelle proposition de valeur au service des clients », indique la même source. Une nouvelle dynamique orientée Centricité client, a été déployée sur le marché de l’entreprise à travers notamment le dispositif de BanquiersConseil experts. Pour les PME et TPE, la banque a proposé un accompagnement spécifique grâce à un rééquilibrage des portefeuilles des banquiers et le déploiement d’un réseau d’agences spécialisées. « Ce dispositif a permis de diversifier l’accompagnement en doublant le nombre des grandes entreprises financées, et d’assurer une évolution de la production de crédit sur la PME de près de 60 % entre 2019 et 2021 », explique la banque. ET d’ajouter que le groupe a contribué à l’effort de soutien à l’économie nationale durant la pandémie, notamment en finançant près de 5,6 milliards de dirhams de crédits Damane Relance et Damane Oxygène Amortissable, soit 11 % des encours distribués par le marché.",2022-06-14,https://lematin.ma/express/2022/societe-generale-maroc-lance-plan-strategique-baptise-joussour25/377092.html,https://static.lematin.ma/files/lematin/images/articles/2022/06/2375bbe82365df98d51f676a014b45f0.jpg
"Bourse : Marsa Maroc, titre à accumuler selon BMCE Capital Research","Marsa Maroc fait partie des valeurs que les analystes de BMCE Capital Global Research (BKGR) recommandent d'accumuler. «Pour 2022, nous tablons sur des réalisations commerciales bien orientées avec un chiffre d’affaires en appréciation de 5% à 3,771 milliards de DH», notent-ils. Cette performance sera soutenue par la progression escomptée du segment Vrac solide tirée par la hausse anticipée du trafic céréalier notamment au second semestre, et ce face à la faible production céréalière qui devrait régresser de 65% par rapport 2021 pour atteindre seulement 32 millions de quintaux cette année. Le segment Vrac liquide devrait s’orienter à la hausse, cette année, essentiellement tiré par l’amélioration du trafic des hydrocarbures dans un contexte d’allègement des restrictions de déplacement, mais aussi grâce à une hausse du trafic du fuel suite à l’arrêt d’approvisionnement en GNL. La poursuite des bonnes performances de Tanger Alliances, particulièrement l’activité transbordement, devrait aussi peser dans la balance. «Néanmoins, la progression de l’activité commerciale du groupe en 2022 devrait être limitée par un repli anticipé du trafic domestique des conteneurs au port de Casablanca», estime BKGR. Les analystes anticipent ainsi une amélioration de 15,2% à 768 millions de DH du résultat net part du groupe du leader national de l'exploitation de terminaux portuaires, compte tenu de la bonne orientation de l’activité commerciale globale et de la bonne capacité d’amélioration des charges opérationnelles. Marsa Maroc dispose de plusieurs forces. D’abord, l’opérateur est leader sur les principaux segments de marchandises. Ensuite, il est présent sur les 9 principaux ports du Maroc grâce à un modèle économique robuste. L'autre point positif est son portefeuille de concessions solide, ses positions stratégiques et ses flux diversifiés. Marsa Maroc affiche également une performance financière solide et continue d’améliorer ses performances opérationnelles. Toutefois, le groupe pâtit de deux faiblesses. La première est liée à la vétusté des équipements qui occasionne un engorgement dans certains ports. La deuxième, elle, est attribuable à l’amenuisement de la capacité de distribution de dividende. Par ailleurs, BKGR fait ressortir plusieurs opportunités de croissance pour Marsa Maroc. En premier lieu, la société dispose d’un positionnement géographique idéal pour desservir l’Afrique. Elle a aussi consolidé les performances de Tanger Alliances, particulièrement celles liées à l’activité transbordement qui représente 93% du trafic géré par la filiale. Autre atout, suite à la mauvaise campagne agricole, une hausse du trafic céréalier est attendue. Et pour finir, les infrastructures portuaires Nador West Med et Dakhla Atlantique sont dotées d’un réel potentiel de développement. En termes de menaces, le groupe est confronté à la forte dépendance au commerce extérieur du pays. Il peut également être impacté par des problèmes d’approvisionnement liés aux conséquences du conflit russo-ukrainien sur les flux portuaires. Le dernier frein est lié à la concurrence provenant des ports espagnols pour le nouveau quai de Tanger Med II.",2022-06-14,https://lematin.ma/express/2022/marsa-maroc-rnpg-ameliorerait-152-cette-annee/377086.html,https://static.lematin.ma/files/lematin/images/articles/2022/06/4f6f9305be912ef7a56d5349e290a2d7.jpg
"Les Organismes de placement collectif montent à 53,7% du PIB en 2021","Les organismes de placement collectif pèsent de plus en plus lourd dans l’économie marocaine. En 2021, leur actif net a représenté pas moins de 53,7% du PIB. Leur encours a atteint 627 milliards de dirhams, en hausse de 16,2% sur un an. Ces données sont fournies par la première édition du rapport de l’AMMC sur le marché des capitaux. Les Organismes de placement collectif (OPC) poursuivent leur montée en puissance dans l’économie nationale. Leur actif net a pesé 53,7% du PIB à fin 2021, contre 49,6% un an plus tôt. C’est ce qui ressort du premier rapport de l’Autorité marocaine du marché des capitaux (AMMC) sur le marché des capitaux. Selon le document, l’encours des OPC a dépassé 627 milliards de dirhams, en hausse de 16,2% sur un an. Les OPCVM continuent à représenter le gros de cet encours, avec un actif net de près de 593 milliards, en progression de 13,3%. Les autres OPC affichent, toutefois, un rythme d'évolution plus rapide. Il s'agit notamment des OPCI (immobilier) qui ont connu une ascension fulgurante (+254,4% à 21,6 milliards). Les fonds de placement collectifs en titrisation (FPCT) ont, quant à eux, progressé de 17,8% à 11,2 milliards et les OPCC (Organismes de placement collectif en capital) se sont accrus de 32,6% à 1,4 milliard. Par type de fonds, l’encours des OPCVM actions, porté par une orientation très positive du marché boursier en 2021, s’est bonifié sur l’année de 27,1% pour culminer à 47 milliards. De même, l’encours des fonds diversifiés a monté de 105%, soutenu par des flux nets positifs de plus de 29 milliards. Par ailleurs, l’encours des fonds obligataires a fini l’année en hausse de 5,4%, tiré par des flux nets positifs de plus de 10,3 milliards. Les fonds monétaires ont vu leur encours s’élever à 81 milliards de dirhams, en hausse de 12,1%, profitant d’une collecte nette de presque 8 milliards. OPCVM : l’actif sous gestion investi surtout en valeurs non cotées Au terme de l’exercice écoulé, l’actif sous gestion des OPCVM a été principalement investi en valeurs non cotées, lesquelles représentent à elles seules 77,18% de l’actif total investi, suivies par les autres éléments d’actif et les valeurs cotées qui constituent respectivement 13,03 et 9,79%. L’AMMC indique, en outre, que l’encours des valeurs non cotées a enregistré une progression de 11,75%, passant de 446 milliards de dirhams en 2020 à 499 milliards de dirhams l’année suivante. Quant à l’encours des valeurs cotées, il s’est apprécié de 45,31% à 63 milliards de DH et l’encours des autres éléments d’actif s’est accru de 38,12% à 84 milliards. Prêt de titres : les OPCVM, principaux prêteurs Du côté de la dette privée, le rapport de l’AMMC fait état de levées de capitaux se chiffrant à 60 milliards de dirhams en 2021, contre 76 milliards en 2020. Pour ce qui est des titres de capital, les levées ont atteint 3 milliards de dirhams, dont 600 millions sont relatifs à l’introduction en bourse de la société de Travaux généraux de construction de Casablanca (TGCC). Les levées de dettes ont concerné le secteur financier à hauteur de 72% et le secteur des sociétés de participations à hauteur de 9%. Dans ce contexte, l’encours des obligations s’est situé à 159 milliards de dirhams à fin 2021 en hausse de 5,1% sur un an et l’encours des titres de créances négociables s’est élevé à 84 milliards. Il est resté quasi-stable par rapport à fin 2020. Pour ce qui est du volume des opérations de prêt de titres, ce dernier a atteint 185 milliards de dirhams, en baisse de près de 27% par rapport à 2020. À fin décembre 2021, l’encours des opérations de prêt de titres s’est établi à 21 milliards de dirhams. Les sociétés non financières tiennent la corde des principaux emprunteurs (34,3%), suivies des banques (32,9%). Les OPCVM sont les principaux prêteurs avec 81,1% du volume traité. S’agissant des investisseurs, le nombre des compte-titres s’est élevé à 148.079 comptes, principalement détenus par les personnes physiques résidentes (85,2%). Le nombre des clients des sociétés de bourse actifs sur le marché boursier a reculé de 2,8% pour atteindre 8.261 clients à fin 2021 dont 6.228 sont des personnes physiques marocaines. Capitalisation boursière : 30% chez les étrangers et les MRE L’activité sur le compartiment central de la Bourse de Casablanca confirme la structure de marché portée par les personnes morales domestiques. Les OPCVM et les personnes morales marocaines cumulent en effet 74% du volume transigé, en quasi-stagnation par rapport à l’année 2020 (73%). La part de la capitalisation boursière détenue par les étrangers et les MRE avoisine 30%, principalement constituée de participations stratégiques (93%). Concernant les parts et actions OPCVM, l’actif net total sous gestion est détenu majoritairement par les entreprises financières à l’instar des années antérieures. Ces dernières détiennent en effet 77% de l’actif total, essentiellement investi dans les OPCVM obligataires. Maroclear : 1.534 titres conservés Au niveau de la conservation des titres, l’encours global des avoirs conservés par le dépositaire central Maroclear s’est situé à 2.192 milliards de dirhams à fin 2021 pour un total de 1.534 titres conservés. L’activité opérationnelle dégage, quant à elle, une moyenne quotidienne des flux dénoués de 58 milliards de dirhams et 1.362 opérations sur titres réalisées à fin 2021, dont 942 paiements d’intérêts, 315 remboursements de titres d’emprunts et 104 paiements de dividendes.",2022-06-14,https://lematin.ma/express/2022/organismes-placement-collectif-montent-537-pib-2021/377081.html,https://static.lematin.ma/files/lematin/images/articles/2022/06/c3818d6a080d46d1f032d84a64e8fddf.jpg
91 millions d’euros de la BAD pour Nador West Med et l'extension de l’aéroport Rabat-Salé,"Afin de renforcer l’attractivité du Maroc et sa position de hub régional, le Groupe de Banque africaine de développement (BAD) et le ministère marocain de l’Économie et des Finances ont signé, lundi 13 juin 2022 à Rabat, deux accords de prêt d’un total de 91 millions d’euros. Ces accords sont destinés à compléter le financement des projets d’extension et de modernisation de l’aéroport de Rabat-Salé et de construction du port Nador West Med. La cérémonie de signature a réuni la ministre marocaine de l’Économie et des Finances, Nadia Fettah, la vice-présidente de la Banque africaine de développement en charge du Développement régional, de l’Intégration régionale et de la Prestation de services, Yacine Fal, le responsable-pays de la Banque pour le Maroc, Achraf Hassan Tarsim, la directrice générale de l’Office national marocain des aéroports, Habiba Laklalech, ainsi que le directeur général de Nador West Med, Mohamed Jamal Benjelloune. “Ces deux opérations partagent les mêmes mots d’ordre : attractivité, compétitivité et intégration”, a souligné Yacine Fal. “Elles viennent consacrer la vision stratégique de Sa Majesté le Roi Mohammed VI qui consiste à faire du Maroc un véritable hub régional attractif qui crée de la valeur et de l’emploi”, a-t-il ajouté. Le premier accord de prêt, de plus de 34 millions d’euros, vient compléter une enveloppe de 75 millions d’euros déjà mobilisée en 2018 pour le Projet d’extension et de modernisation de l’aéroport de Rabat-Salé. L’objectif est avant tout de renforcer la compétitivité et l’attractivité de la zone économique Rabat-Salé. Il s’agit de répondre à la hausse du trafic aérien dans une zone en plein essor économique autour de la capitale, et de satisfaire les besoins logistiques croissants des opérateurs économiques du pays. Les capacités en fret et passagers devraient ainsi être quadruplées. De nouvelles lignes vont aussi être ouvertes à partir de Rabat-Salé, pour compléter l’offre de l’aéroport de Casablanca. Le second accord, qui porte sur un financement additionnel de 57 millions d’euros voués à la construction de Nador West Med, complète une première enveloppe de près de 113 millions d’euros octroyée en 2015. Cette enveloppe vise à construire deux terminaux à conteneurs équivalents vingt pieds, d’un poste de chargement vrac spécialisé de quatre millions de tonnes, d’un terminal de marchandises et d’un terminal de produits liquides aux capacités respectives de 33 millions et 14 millions de tonnes. Nador West Med sera ainsi adossé à un pôle commercial, industriel, logistique et tertiaire situé dans une zone économique intégrée qui offre de nouvelles opportunités d’emploi. Au fil d’un demi-siècle de partenariat avec le Maroc, la Banque africaine de développement a engagé plus de 12 milliards de dollars dans le pays. Des financements qui couvrent les secteurs de la santé, de l’agriculture, de l’énergie, de l’eau, des transports, du développement humain et du secteur financier.",2022-06-14,https://lematin.ma/express/2022/bad-accorde-91-millions-deuros-financement-additionnels-maroc-renforcer-attractivite/377082.html,https://static.lematin.ma/files/lematin/images/articles/2022/06/4c8d162bcf4cdcb3cb6d31369b2eee3e.jpg
E-commerce : Marché Express acquiert «Lbeldi» pour ses produits bio et de terroir,"Marché Express franchit une nouvelle étape dans son développement. La startup, spécialisée dans la vente de fruits et légumes en ligne, vient de racheter la marque «Lbeldi». À travers cette acquisition, Marché Express intègre le bio et les produits de terroir dans son offre et «élargit sa gamme de 70 variétés de fruits et légumes par des produits de terroir à forte valeur ajoutée», indique la Marketplace. Avec ce rachat, Marché Express se donne les moyens pour accélérer sa croissance, capitalisant ainsi sur ses acquis : des dizaines de milliers de clients actifs sur sa plateforme dans la zone du Grand Casablanca et un taux de satisfaction de ses utilisateurs de plus 92%. D’ailleurs, forte de son succès dans cette zone, la marketplace compte élargir son offre aux autres grandes villes marocaines. Lancée en 2019, Marché Express s’engage à livrer, en moins de 24 h, les clients en produits frais «de grande qualité, tout en respectant les normes sanitaires».",2022-06-14,https://lematin.ma/express/2022/e-commerce-marche-express-acquiert-lbeldi-produits-bio-terroir/377078.html,https://static.lematin.ma/files/lematin/images/articles/2022/06/e84a567c494faeab6e503586193a3993.jpg
Capital humain-protection sociale : les 500 millions de dollars de la Banque mondiale arrivent,"La Banque mondiale doit approuver, cette semaine, un prêt de 500 millions de dollars, afin de soutenir la réforme et la généralisation de la protection sociale au Maroc à travers un programme intitulé «Renforcement du capital humain pour un Maroc résilient». Ce programme élaboré en collaboration avec le gouvernement adopte les Orientations Royales et les propositions du nouveau modèle de développement, avec un volet dédié à l’amélioration de la protection contre les risques liés aux changements climatiques et aux événements catastrophiques. Le conseil d'administration de la Banque mondiale doit approuver cette semaine un prêt de 500 millions de dollars en faveur du Maroc. Il est destiné à soutenir le Chantier Royal de réforme et de généralisation de la protection sociale à travers un programme intitulé «Renforcement du capital humain pour un Maroc résilient». Ce programme, élaboré en collaboration avec le gouvernement, s’inscrit dans les objectifs du nouveau modèle de développement. Il comprend trois piliers couvrant l'intégralité de la réforme du Maroc pour la santé et la protection sociale, notamment l'adoption et l'institutionnalisation du cadre juridique, l'universalisation progressive de l'assurance maladie obligatoire, le renforcement des infrastructures de santé et des ressources humaines, la mise en œuvre du programme d'allocations familiales, la réforme des subventions et l'élargissement des régimes de retraite. Le programme est organisé en trois piliers : Amélioration de la protection contre les risques sanitaires ; Renforcement de la protection contre les pertes de capital humain pendant l'enfance et contre la pauvreté pendant la vieillesse ; et Amélioration de la protection contre les risques liés au changement climatique et aux événements catastrophiques. Selon le document du prêt soumis à l'approbation de la Banque mondiale et dont «Le Matin» détient copie, le programme de réforme marocain prévoit des changements profonds tant du côté de la demande que de l'offre du système de santé. Du côté de la demande, il vise à étendre la couverture de l'assurance maladie à 11 millions de personnes qui ne sont pas assurées, en passant de 70% à une couverture universelle. Du côté de l'offre, il propose de construire et de moderniser les infrastructures de santé, de créer un système de médecine familiale, d'établir un nouveau service de santé publique, de déconcentrer la prestation de services dans les régions et de mettre en œuvre un système d'information sanitaire intégré. En outre, la transformation des programmes de protection sociale actuels en un système intégré d'allocations familiales vise le double objectif de réduire la pauvreté et la vulnérabilité, tout en renforçant le capital humain des enfants qu'il cible. Par ailleurs, le programme de réforme a pour objectif également d'améliorer la viabilité financière du système de retraite et d'étendre la couverture des retraites aux travailleurs non-salariés et indépendants. Pour ce qui est du renforcement de la résilience aux catastrophes naturelles et aux risques climatiques, le programme vise la consolidation du cadre institutionnel et de coordination du gouvernement pour la gestion des risques y afférents. Il a également pour but la fourniture des aides contre les effets de la sécheresse sur la saison agricole 2021-2022. S’ajoutent l'amélioration des mécanismes de transfert des risques tels que l'assurance agricole ainsi que l'extension du champ d'intervention du Fonds de solidarité contre les événements catastrophiques (FSEC) pour couvrir les sécheresses. Le programme vise des objectifs chiffrés. Entre autres, le pourcentage de la population couverte par l'assurance maladie doit atteindre 90% en 2025, au lieu de 69,9% en 2021. Pour les femmes et filles de tous âges, il doit s’établir à 90%, contre 55,4% l’année dernière. De même, le pourcentage des travailleurs non salariés dans les secteurs vulnérables au climat qui sont couverts par une assurance maladie doit se situer à 90%, au lieu de 0% en 2021. Le nombre de travailleurs inscrits à un régime de retraite s’établira à 6 millions (dont 2,23 millions de femmes) en 2025, contre 4,5 millions en 2021 (dont 1,48 million de femmes).",2022-06-14,https://lematin.ma/express/2022/capital-humain-protection-sociale-500-millions-dollars-banque-mondiale-arrivent/377077.html,https://static.lematin.ma/files/lematin/images/articles/2022/06/d858ca2123a479db8a9cd8564954838d.jpg
"Coup d'envoi de la 9ème édition du Logismed, la digitalisation au cœur des débats","Après 2 ans d’absence, Casablanca abrite, du 14 au 16 juin, le Salon International du Transport et de la Logistique pour l’Afrique et la Méditerranée (Logismed) sous le thème ""la digitalisation, une simple évolution ou une nécessaire révolution dans un monde VUCA"". Cette 9ème édition tenue sous la tutelle du ministère du Transport et de la Logistique est axée sur une thématique centrale qui représente un enjeu majeur pour le développement du secteur. Il s'agit de la digitalisation comme un moyen permettant d’hisser le positionnement national et international du Maroc. Donnant le coup d'envoi de ce rendez-vous très attendu par les professionnels, Mohammed Abdeljalil a souligné que « la digitalisation apporte les solutions innovantes permettant de raccourcir les délais de livraison, d’améliorer la qualité et réduire les couts et de s’adapter en continu ». M. Abdeljalil a fait savoir, dans ce contexte, que malgré les stratégies déployées pour développer les infrastructures de transport et moderniser les procédures du commerce international, « les objectifs ne sont pas encore atteints ». Pour se faire, le ministre a indiqué qu’il faut instaurer « une nouvelle configuration du système logistique national constituée de chaines qui organisent les flux autour de zones logistiques adaptées et reliées par des services de transport optimisés et massifiés. » ""Malgré les efforts qui ont été déployé dans le développement des infrastructures de transport, dans la réalisation des réformes institutionnelles et dans la modernisation des procédures du commerce international, et après 10 ans de la mise en œuvre de la stratégie logistique, les objectifs ne sont pas encore atteints. L’enjeu aujourd’hui c’est de poursuivre et d’accélérer la mise en œuvre de la stratégie logistique tout en l’adaptant à un monde VUCA. Il ne s’agit pas seulement de corriger les dysfonctionnements constatés mais aussi d’instaurer une transformation réelle des acteurs qui doivent tous se digitaliser"", a noté le ministre La réussite de la transition du Maroc vers une logistique moderne et digitalisée nécessite l’émergence d’acteurs logistiques privés compétitifs qui évoluent dans un cadre réglementaire souple et encourageant pour les investissements, a affirmé le responsable gouvernemental. Pour le président du Salon, Mohamed Berrada, cette édition est très particulière car le contexte de crise sanitaire et donc économique perdure et continue de soulever de l’inquiétude. Cependant, et avec une ambition de relancer le secteur, M. Berrada indique que l’objectif primordial est de permettre à la communauté des professionnels de se réunir de nouveau, de se retrouver physiquement. ""C’est la raison pour laquelle, et après une parenthèse de trois ans en raison du Covid-19, nous avons placé cette 9e session du Logismed sous le signe des grandes retrouvailles"". ""Nous réunissons près de 84 entreprises et institutions, représentant tous les métiers de la filière logistique, ce qui est extraordinaire pour nous. Au niveau du visitorat, nous prévoyons de recevoir pendant les 3 jours du salon environ 4.000 visiteurs professionnels, issus de l’industrie, du commerce, de la distribution, des services, des administrations, des collectivités locales"", déclare le président du Salon.",2022-06-14,https://lematin.ma/express/2022/coup-envoi-9eme-edition-logismed-digitalisation-coeur-debats/377070.html,https://static.lematin.ma/files/lematin/images/articles/2022/06/598b3dd52f4a68f6b653dc2c4f05e22e.jpg
