text,date,link
"La Confédération générale des entreprises du Maroc (CGEM) et la Fédération des chambres de commerce et d’industrie (FCCI) des Emirats Arabes Unis ont signé, jeudi à Rabat, un mémorandum d’entente (MoU) pour la réactivation du Conseil d’affaires Maroc-Emirats Arabes Unis. Ce MoU a été paraphé par le président de la CGEM, Chakib Alj, et le secrétaire général de la FCCI, Humaid Mohamed Ben Salem, en présence du ministre émirati de l’Économie, Abdullah Bin Touq Al Marri et d’opérateurs économiques des deux pays, en marge d’un Business talk organisé par la Confédération en collaboration avec « Investopia ». Ce conseil d’affaires, qui sera présidé du côté marocain par Abdelmajid Iraqui Houssaini, président du Directoire de Taqa Morocco, constitue une plateforme conjointe de soutien et d’accompagnement des entreprises marocaines et émiraties pour la réalisation d’investissements innovants à fort impact et générateurs de valeur ajoutée et d’emplois. Lire aussi | Le gouvernement ouvre des crédits supplémentaires afin de maintenir le prix de vente du gaz Butane et du sucre Intervenant à cette occasion, M. Abdullah Bin Touq Al Marri a souligné que son pays, sur la base de la vision avisée de son leadership et afin d’atteindre les objectifs fixés pour les 50 années à venir, a lancé un ensemble intégré et sans précédent d’initiatives, programmes et politiques à même d’entraîner des transformations radicales de son modèle économique actuel pour qu’il soit plus flexible, durable et plus en phase avec les futures tendances de développement. Ces efforts ouvrent la voie à plus d’incitations et de facilités aux entreprises et à l’élargissement des partenariats commerciaux et d’investissement avec divers marchés mondiaux, a soutenu le ministre émirati, mettant en avant l’importance du Business Talk organisé pour discuter des opportunités d’investissement dans les nouveaux secteurs économiques. Cette initiative permettra également aux communautés d’affaires émiratie et marocaine de bénéficier de ces opportunités, de développer des partenariats en faveur du développement des deux pays et de renforcer les relations bilatérales existantes et les porter à des niveaux plus avancés. Lire aussi | Albares : « nous analysons les conséquences de la décision algérienne et y répondrons fermement et sereinement » Pour sa part, M. Alj a rappelé que le Maroc et les Émirats Arabes Unis ont toujours entretenu des relations d’amitié et de respect, affirmant que la coopération économique entre les deux pays est déjà fructueuse. Il a, à cet égard, évoqué l’accord de libre-échange conclu depuis 2001, ajoutant que les Émirats Arabes Unis est également le premier pays arabe à investir dans le Royaume avec plus de 30 entreprises émiraties opérant dans divers secteurs et 20 milliards de dollars d’investissements réalisés à ce jour. Toutefois, et compte tenu des grandes complémentarités et similitudes existant entre les économies des deux pays, le président de la CGEM a estimé que « nous pourrions aller bien au-delà de ces réalisations en construisant des partenariats innovants, à fort impact et durables et ce, dans de nombreux secteurs, notamment dans l’industrie, les énergies renouvelables, les nouvelles technologies et la logistique ». M. Alj a, en outre, relevé que tous les ingrédients sont réunis pour faire de la coopération économique entre les communautés des affaires marocaine et émiratie un véritable modèle de collaboration régionale et confirmer le leadership économique des deux pays, dans un monde qui se refaçonne. Lire aussi | Ryad Mezzour inaugure l’extension d’une usine d’emballages et son parc photovoltaïque à Tanger « Nous sommes disposés à joindre nos forces et à travailler immédiatement avec nos homologues émiratis, avec qui nous partageons le même mindset business et avons construit une relation de confiance et de solidarité, en vue de générer plus d’emplois, plus de croissance et de la prospérité dans nos régions respectives », a dit M. Alj. De son côté, le secrétaire général de la FCCI a mis en exergue la nécessité d’ouvrir de nouveaux horizons aux chefs d’entreprises pour établir des partenariats d’investissement à long terme, que ce soit aux Emirats Arabes Unis ou au Maroc, au regard de l’avantage concurrentiel dont jouissent les deux pays, pour améliorer les relations bilatérales. Lire aussi | Saisie de plus de 3 tonnes de Chira au port de Casablanca M. Ben Salem a également indiqué que la signature du MoU pour réactiver le Conseil d’Affaires se veut une nouvelle étape en faveur du renforcement de la coopération entre les deux pays et l’organisation de divers événements aux Émirats arabes Unis ou au Maroc visant le développement des relations économiques entre les deux pays et l’amélioration des canaux de communication entre les chefs d’entreprises et de fournir les facilitations.",2022-06-09,https://www.challenge.ma/maroc-emirats-arabes-unis-signature-dun-mou-pour-la-reactivation-du-conseil-daffaires-240272/
"Selon Bank Al-Maghrib, l’encours du crédit bancaire s’est établi à 980,7 milliards de DH au titre des quatre premiers mois de 2022, soit une hausse annuelle de 3,2%. Bank Al-maghrib détaille dans son tableau de bord « crédits-dépôts bancaires » du mois d’avril 2022 que l’encours du crédit bancaire aux agents non financiers s’est élevé à 854,3 milliards de DH et celui aux agents financiers à 126,4 milliards de DH. La même source indique que l’augmentation annuelle de 5,6% des crédits aux entreprises non financières (ENF) privées recouvre des hausses de 10,2% des facilités de trésorerie et de 2,2% des prêts à l’équipement, ainsi qu’une baisse de 2,7% des prêts immobiliers. Par ailleurs, ledit tableau de bord fait savoir que l’enquête de conjoncture de BAM indique que l’accès au financement, au T1-2022, a été jugé normal par 91% des entreprises industrielles et difficile par 9%, avec un coût du crédit en stagnation. Lire aussi | Le Maroc, pays africain le plus attractif en 2022 [Institut Amadeus] Selon les résultats disponibles de l’enquête sur les conditions d’octroi de crédit au titre de T1-2022, les critères auraient été assouplis pour les crédits de trésorerie, maintenus inchangés pour ceux à l’équipement et durcis pour les prêts à la promotion immobilière. Par taille, les critères auraient été maintenus inchangés aussi bien pour les très petites, petites et moyennes entreprises (TPME) que pour les grandes entreprises (GE). Pour ce qui est de la demande, elle aurait connu une baisse tant pour les TPME que pour les GE et pour tous les objets de crédit. Au T1-2022, les taux appliqués aux nouveaux crédits ont baissé à 4,02%. Par taille d’entreprise, ils se sont établis à 3,65% pour les GE et à 4,85% pour les TPME. S’agissant des crédits aux ménages, ils ont enregistré une hausse annuelle de 3,4%, traduisant essentiellement une augmentation de 3,2% des prêts à l’habitat. Lire aussi | La CGEM met le cap sur l’export Le financement participatif destiné à l’habitat, sous forme notamment de Mourabaha immobilière, a poursuivi sa progression et s’est établi à 16,9 milliards de DH, après 12,8 milliards de DH une année auparavant. Au T1-2022, les banques déclarent des critères d’octroi inchangés tant pour les prêts à l’habitat que pour les crédits à la consommation. Pour la demande, elle aurait augmenté pour les prêts à la consommation et baissé pour ceux à l’habitat. Pour ce qui est des taux appliqués aux nouveaux crédits aux ménages, ils ressortent, au T1-2022, à 5,2% avec 4,21% pour les crédits à l’habitat et à 6,50% pour ceux à la consommation.",2022-06-03,https://www.challenge.ma/banques-les-prets-accordes-ont-atteint-plus-de-900-milliards-de-dh-sur-les-4-premiers-mois-de-2022-239903/
"Dans le cadre des Rencontres du Livre Blanc, la Confédération Générale des Entreprises du Maroc CGEM, a organisé jeudi 2 juin une conférence sous le thème « Exporter du Maroc : Défis et Opportunités », l’occasion de débattre des mesures à mettre en place et des mécanismes à renforcer pour dynamiser les exportations marocaines. L’événement a été marqué par un débat riche et productif sur les défis et opportunités à l’export, des actions entreprises et futures pour plus de compétitivité et de résilience pour les entreprises exportatrices marocaines, dont le NMD ambitionne de faire passer le nombre de 6.000 à 12.000 entreprises à l’horizon 2035. Les avis des différents intervenants et experts ayant pris part à ce panel sont convergents quant aux leviers à actionner. Avec un potentiel de 120 MMDH à l’export, le Maroc doit tirer profit des évolutions au niveau mondial de la chaine de valeur, s’élargir à de nouveaux marchés, accompagner plus efficacement ses entreprises exportatrices, et développer une intelligence économique. Lire aussi | Pour un nouvel ordre mondial [Par Jamal Berraoui] Rahhal Abdelouahed, DG du Commerce au Ministère de l’Industie et du Commerce, a souligné l’importance des accords de libre-échange dans la dynamisation des échanges commerciaux. « La majeur partie des échanges mondiaux se font dans le cadre d’un accord préférentiel. Les développer nous a permis d’élargir notre marché et d’attirer les investissements. 80% de nos exportations se font dans le cadre d’accords de libre-échange », a-t-il souligné. M. Rahhal a indiqué que le ministère a mis en place un écosystème de bout en bout pour l’accompagnement des opérateurs. « Nous avons mis en place un budget pour l’accompagnement financier des opérateurs. Nous avons aussi mis en place un programme pour accompagner les entreprises à la certification afin qu’elles puissent intégrer les marchés européens notamment. » M. Rahhal a également rappelé le potentiel encore très peu exploité du marché africain , soulignant qu’un projet logistique prenait place à cet effet « On est bien avancé sur une plateforme logistique au niveau de l’Afrique. Il y a un grand potentiel en Afrique et nous avons besoin d’être en place. » Lire aussi | Tenue du premier Conseil d’administration de l’Agence nationale de réglementation des activités relatives au cannabis De son côté, Hakim Marrakchi, Vice-Président de la CGEM et Vice-Président de l’ASMEX, soulève un problème de « non compétitivité logistique ». « L’essentiel de nos importations se fait par conteneur et l’essentiel de nos exportations se fait par camion », a-t-il souligné. Sur les accords de libre-échange M. Marrakchi s’accorde sur la nécessité de les développer d’avantage « notamment avec les pays d’Amérique latine et d’Afrique. » Selon lui, pour accompagner ce développement, il est nécessaire d’agir sur la fiscalité : « notre système fiscal n’a pas beaucoup évolué et ne tient pas compte finalement des accords de libre-échange pour faire de notre économie une économie vraiment ouverte », a-t-il déclaré, soulignant par ailleurs le besoin de recourir à plus d’ « intelligence économique ». Lire aussi | Le Maroc, pays africain le plus attractif en 2022 [Institut Amadeus] Adil Zaydi, Président de la Fédération de l’Automobile, appelle de même à agir au niveau de la fiscalité pour encourager les entreprises marocaines à exporter, en préconisant « la suppression des taxes contre-productives, des taxes professionnelles, des taxes d’investissement, taxes de réserves foncières et de sécurité… ». Selon lui, la dimension « export » doit faire partie intégrante de la stratégie des entreprises marocaines. « Il faut qu’on arrive aujourd’hui à passer au « branding Maroc », qu’on arrive à toucher le consommateur. On a tout ce qu’il faut faire pour produire », a-t-il déclaré. Pour Hicham Serghini, DG de Tamwilcom, il est essentiel de fournir à nos entreprises un accompagnement, qui ne soit pas seulement d’ordre financier, afin de les doter de la bonne information concernant les marchés potentiels, dont elles auront besoin pour faire le pas en toute confiance. Et d’insister sur l’importance de l’ « internationalisation de nos entreprises » : « Pour mieux exporter des fois, il faut des fois être présent sur le marché cible », a-t-il indiqué.",2022-06-03,https://www.challenge.ma/la-cgem-met-le-cap-sur-lexport-239872/
"Pour la première fois depuis la création des Indices d’attractivité et de stabilité du continent africain en 2012, le Maroc a atteint la plus haute marche du podium sur la question de l’attractivité, devant l’Afrique du Sud. Le Maroc se classe 3ème sur l’indice de stabilité. Occupant traditionnellement de bons scores dans cette catégorie, il conserve sa position par rapport à l’année précédente. Créés par l’Institut Amadeus en 2012, avec le soutien de Casablanca Finance City Authority, les Indices africains de stabilité et d’attractivité visaient à mesurer les performances économiques, les vulnérabilités sociales et environnementales, ainsi que le cadre politique et sécuritaire de l’ ensemble des pays africains entre eux, à travers plus de 70 indicateurs issus des banques de données africaines et internationales. Lire aussi | Nabyl Lakhdar : « Nous ne voulons plus revoir ces images de femmes «mulets» qui nous indignaient tous » La situation économique mondiale et la fragilisation de nombreuses économies africaines et de secteurs entiers, à l’étape du tourisme, a touché de très nombreux pays sur le continent. Le Maroc a réussi à maintenir un profil d’attractivité fort dans ce contexte grâce à ses indicateurs macroéconomiques, la qualité de la régulation, la qualité de ses infrastructures et le développement de son système financier. Lire aussi | Le fisc aux trousses des youtubeurs et influenceurs Les Indices de la Stabilité et de l’Attractivité en Afrique permettent d’offrir une vision d’ensemble de la situation économique, politique et sécuritaire du continent et de comparer ainsi les performances des pays africains, tout en prenant en compte les particularités inhérentes à chacun d’entre eux et à chacune des sous-régions du continent. Le rapport 2022, qui accompagne la publication des Indices, a été rédigé et conduit sous la direction d’un Comité scientifique composé de spécialistes du continent ainsi que par l’équipe de l’Institut Amadeus.",2022-06-02,https://www.challenge.ma/le-maroc-pays-africain-le-plus-attractif-en-2022-institut-amadeus-239852/
"La Fédération Nationale des Promoteurs Immobiliers (FNPI) annonce la tenue de la 2ème édition du Salon Immogallery du 21 au 30 juin 2022 à Anfa Park-Casablanca. Près de 30.000 visiteurs sont attendus à la rencontre des 30 exposants venus proposer des offres spéciales d’achat et de location de biens immobiliers. Il s’agit d’un concept inédit de salon qui s’inscrit dans une approche citoyenne avec la volonté d’apporter un soutien aux jeunes musiciens marocains, explique la FNPI dans un communiqué. Cette édition du Salon Immogallery, salon de l’immobilier de standing, proposera ainsi série de concerts quotidiens de jeunes musiciens marocains, une gaming zone et des espaces de restauration. « Pour cette 2ème édition du Salon Immogallery, très attendue par l’ensemble des acteurs de l’immobilier, de nombreux promoteurs immobiliers nationaux ont d’ores et déjà confirmé leur engagement pour y prendre part », indique la fédération. Le salon offre également une plateforme d’échange et de réflexion sur les grands enjeux du secteur immobilier au Maroc.",2022-06-11,https://lematin.ma/express/2022/2eme-edition-salon-immogallery-prevue-21-30-juin/376935.html
"Le Crédit Agricole du Maroc lance un nouveau concept à l’intention des agriculteurs leur permettant de disposer de deux comptes distincts et étanches : un compte professionnel « Hssab Al Ard » lié à son exploitation agricole et son activité professionnelle et un autre compte personnel « Hssab Dar » pour gérer ses besoins personnels et familiaux. « Alors qu’historiquement dans le monde rural et à défaut d’une structuration juridique de leurs activités professionnelles, les agriculteurs ont souvent mêlé dépenses personnelles et professionnelles, le Crédit Agricole du Maroc apporte désormais aux agriculteurs une solution inédite avec la possibilité de pouvoir bénéficier d’une distinction entre leurs besoins, revenus et dépenses personnels en tant que clients particuliers et leurs revenus et dépenses liés à leurs activités professionnelles à l’instar de la pratique dans le monde urbain », explique l’établissement bancaire dans un communiqué. Ainsi, cette approche conceptualise la double relation bancaire pour les agriculteurs afin de les accompagner à la fois dans leurs activités professionnelles et dans leurs activités privées. Elle s’appuiera sur la mise en place du Registre National de l’Agriculture (RNA) pour assurer une gestion spécifique et distincte des projets de financement adossés au compte professionnel de l’agriculteur tout en lui offrant l’ouverture d’un compte personnel gratuit pour couvrir l’ensemble de ses besoins personnels et familiaux. Cette nouvelle approche s’inscrit également dans le cadre de l’accompagnement de la mise en place du programme de généralisation de la couverture sociale au profit des agriculteurs, note la même source. « Identifié par le numéro de la CNIE, l’agriculteur pourra disposer d’un compte chèque lui permettant de gérer ses revenus et dépenses personnels et familiaux et comptera comme opérations au crédit son épargne, le produit de sa retraite, les virements divers à son bénéfice, les recettes hors exploitation agricole. Au débit, figureront les dépenses personnelles, les remboursements crédits personnels (hors exploitation), les souscriptions aux produits de bancassurance optionnels (épargne, retraite, santé, etc) », explique la banque. Et de préciser que ce compte personnel est proposé par la banque et n’engage aucun frais de tenue de compte. Quant à la gestion des besoins professionnels, elle sera assurée dans le cadre de Hssab Al Ard. « Grâce à l’identification du numéro unique octroyé dans le cadre de la mise en oeuvre du RNA, l’agriculteur bénéficiera d’un compte courant permettant, en opération au crédit du compte, les déblocages des crédits, les recettes de l’exploitation, les subventions FDA, les autres Incitations financières de l’Etat, les indemnisations issues des produits d’assurances MAMDA. Au débit de ce compte, seront portées les dépenses diverses de l’exploitation, les redevances d’eau d’irrigation, le remboursement des crédits ainsi que les cotisations de l’AMO en faveur de la CNSS », explique la même source. Et de préciser que ce compte professionnel fonctionnera comme le compte des entreprises selon les tarifications en vigueur pour les différentes opérations.",2022-06-11,https://lematin.ma/express/2022/credit-agricole-maroc-cree-hssab-dar-compte-personnel-agriculteurs/376933.html
"La Confédération générale des entreprises du Maroc (CGEM) a tenu, vendredi à Casablanca, son Assemblée générale ordinaire (AGO) sous la présidence de M. Chakib Alj. Cette AGO a connu l'approbation du rapport moral de 2021, du rapport financier de 2021, du rapport du commissariat aux comptes sur l'exercice 2021 et des comptes et quitus à la présidence et au Conseil d’administration de la CGEM. A cette occasion, M. Alj a indiqué que ""les deux dernières années n’ont pas été de tout repos"", faisant observer que l’apparition de la pandémie du Covid-19 a eu un impact considérable sur l’économie. ""Avec anticipation et réactivité, toutes les instances de la CGEM se sont mobilisées, aux côtés du gouvernement, pour mettre en place des mesures de soutien urgentes et ciblées. Notre objectif majeur était de sauvegarder les entreprises, notamment les TPME et les emplois"", a-t-il souligné. Il a, dans ce sens, relevé qu'au sein du Comité de veille économique (CVE), la CGEM a toujours été un membre très actif, écouté, alimentant en permanence l’exécutif de recommandations. ""Le secteur privé national a fait preuve de solidarité, de résilience et d’agilité, félicitées à l’échelle internationale, ce qui a grandement contribué à la réussite de la gestion de la crise malgré l’ampleur des difficultés"", a dit M. Alj. Et de poursuivre: ""Avec le gouvernement, nous continuons à travailler, de manière étroite, pour, non seulement instaurer des mesures de soutien aux entreprises, mais également pour faire aboutir les chantiers économiques stratégiques capables de libérer notre économie et de renforcer la compétitivité de nos entreprises en adéquation avec le Nouveau modèle de développement de notre pays"". Par ailleurs, M. Alj a rappelé la publication par la CGEM, en octobre dernier, d'un livre blanc auquel ont contribué toutes les forces vives de la Confédération, précisant que cet ouvrage, qui traite des leviers de transformation transverses l'économie et des secteurs en mouvement, apporte des recommandations et mesures concrètes pour la réussite de la mise en œuvre du Nouveau modèle de développement (NMD). M. Alj a également mis en avant la signature par la CGEM, le gouvernement et les Syndicats, le 30 avril dernier, après plusieurs rounds de négociation, de la charte sociale pour institutionnaliser le dialogue social et un accord social tripartite. ""Ce nouvel accord, que nous considérons équilibré, est le fruit d’une démarche sérieuse, responsable et citoyenne, prenant en considération les impacts du contexte actuel de crise mondiale sur le pouvoir d’achat du citoyen marocain, mais aussi les contraintes des entreprises"", a-t-il soutenu. S'agissant de la Loi de Finances 2023, le président de la Confédération a fait savoir que la CGEM vient de déposer ses propositions auprès du ministère de l’Économie et des Finances, notant que celles-ci sont formulées à l’issue d’un processus qui a démarré en février 2022, afin d’anticiper et d’intégrer toutes les demandes des Fédérations. Il a, dans ce cadre, salué le travail de qualité réalisé par la commission fiscalité et douanes et le groupe CGEM à la Chambre des Conseillers, ainsi que la réactivité des Fédérations. En outre, M. Alj a relevé que la Charte de l'Investissement, qui est actuellement en cours d’opérationnalisation, est l'une des priorités majeures de la CGEM, soulignant que ce projet Royal, qui vise à créer 500.000 emplois, vient compléter l’ensemble des dispositifs d’accompagnement et d’incitation à l’investissement existants. L'objectif est d'inverser la proportion d’investissement privé et public, pour atteindre 2/3 pour le privé et 1/3 pour le public à horizon 2035, a-t-il fait savoir, relevant que le gouvernement affiche aussi un engagement fort, dans le cadre de cette charte, en faveur de plus de compétitivité pour les entreprises, que ce soit en matière de fiscalité, de foncier, d’accès à la commande publique ou de simplification des procédures administratives. Pour ce qui est des délais de paiement, M. Alj a noté que la CGEM œuvre, depuis plusieurs mois, pour accélérer la promulgation de la loi modifiant et complétant la loi n°15-95 formant code de commerce et édictant des dispositions particulières relatives à ces délais.",2022-06-10,https://lematin.ma/express/2022/loi-finances-2023-cgem-depose-propositions/376903.html
"Dans le cadre de sa stratégie de digitalisation visant à renforcer sa proximité avec ses clients, Finéa lance son nouveau chatbot sur WhatsApp « FinBot », le premier en son genre au Maroc dans le domaine du financement des TPME. Dédié à sa clientèle et disponible 24/24h et 7/7j, FinBot agit comme un véritable conseiller financier en apportant à ses utilisateurs conseils et réponses quant à leur situation financière, et en les informant sur les différentes possibilités de financement proposées par Finéa. Il leur permet également d’obtenir des réponses à toutes leurs demandes de façon instantanée, leur faisant ainsi gagner un temps précieux et leur épargnant tout déplacement en succursale. Les utilisateurs ont désormais la possibilité de consulter leurs autorisations, encours et autres conditions de leurs contrats, ainsi que plusieurs autres fonctionnalités en contactant simplement un numéro WhatsApp mis à leur disposition (06 15 204 240) ou depuis le site web de Finéa via le lien suivant www.finea.ma/chatbot. FinBot constitue un véritable atout et offre à la clientèle de Finéa une expérience client innovante grâce à un service instantané et de qualité.",2022-06-06,https://lematin.ma/express/2022/fine-lance-finbot-premier-chatbot-dedie-financement-tpme/376670.html
"Dans le cadre de sa stratégie de développement de l’aquaculture marine au Maroc, l’Agence nationale pour le développement de l’aquaculture (ANDA) lance ce lundi 06 juin 2022 deux appels à manifestation d’intérêt (AMI) pour le développement de projets d’algoculture dans la lagune de la Marchica. Le premier, adressé aux investisseurs nationaux et internationaux intéressés par le développement de projets aquacoles, propose 24 parcelles de 16 ha chacune. Le deuxième, dédié aux jeunes entrepreneurs de la région de l’Oriental et aux coopératives de marins pêcheurs opérant dans la lagune de la Marchica, porte sur 5 parcelles de 16 ha chacune. Les porteurs de projets intéressés par cette activité peuvent télécharger, les dossiers des Appels à Manifestation d’Intérêt, à partir du site de l'ANDA. Ils sont invités à déposer leurs dossiers, au plus tard le 07 novembre 2022 à 16h30.",2022-06-06,https://lematin.ma/express/2022/algoculture-investisseurs-entrepreneurs-vos-projets/376667.html
"Après une conséquente augmentation de capital pour accompagner son plan de développement, le conseil d’administration de Palmeraie Holding, présidé par M. Saad Berrada Sounni, l’actionnaire majoritaire du groupe, annonce le changement de dénomination de la holding qui devient désormais « Africorp Consortium ». Ce changement marque une nouvelle étape d’institutionnalisation réussie du groupe enclenchée depuis quelques années, en un consortium de métiers avec un développement continental multisectoriels, une holding africaine avec des prises de participations majoritaires dans ses pôles d’activités. La dénomination des pôles d’activités a été aussi repensée pour une harmonisation de l’architecture globale des marques : Industrie & Distribution, via son pôle Africorp Industry ; Agriculture, via son pôle Africorp Agri ; Mines & Carrières, via son pôle Africorp Mining ; et Education, via son pôle Africorp Edu. Cette transformation répond ainsi au développement stratégique du groupe et vient affirmer davantage sa vocation africaine. Africorp Consortium a lancé en fin d’année dernière, la construction de son nouveau siège social à proximité de Casablanca Finance City. Ce dernier sera opérationnel courant le prochain trimestre.",2022-06-06,https://lematin.ma/express/2022/palmeraie-holding-devient-africorp-consortium/376660.html
